Country,Year,Electricity_access,Adj_savCO2_damage,Exports,GDP_per_capita,Imports,Inflation,Primary_school_enrol,Secondary_school_enrol,Unemployment_rate_male,Unemployment_rate_women,Co2_prod_tonnes,Income_classification,Life_expectancy,Internet,Population,Regime_type,Rural_population,Urban_population,World_Regions
Aruba,2000,91.660398,2.389134359,74.40032444,20617.75047,70.67285327,4.044021312,110.7881775,96.51616669,,,2.378,High income,,,,,53.283,,Latin America and Caribbean
Aruba,2001,100,2.509045841,70.49752691,20670.36701,68.54815246,2.883604303,109.4409637,97.97286987,,,2.407,High income,73.853,17.1,92892,,53.661,46.339,Latin America and Caribbean
Aruba,2002,100,2.72138537,64.92086331,20436.88713,69.38129496,3.315246786,111.0108337,100.5206833,,,2.437,High income,73.937,18.8,94992,,54.028,45.972,Latin America and Caribbean
Aruba,2003,100,2.733675941,63.10116086,20833.97636,70.86788281,3.656365079,109.2143021,99.09117126,,,2.561,High income,74.038,20.8,97016,,54.394,45.606,Latin America and Caribbean
Aruba,2004,100,2.678363121,65.07896716,22568.37499,68.56354976,2.529129469,110.8390503,97.25244141,,,2.616,High income,74.156,23,98744,,54.76,45.24,Latin America and Caribbean
Aruba,2005,100,3.413409269,68.55225312,23300.73836,77.94822627,3.397786778,111.3767166,95.9417572,,,2.719,High income,74.287,25.4,100028,,55.125,44.875,Latin America and Caribbean
Aruba,2006,100,2.868293931,65.85253456,24046.22638,78.11059908,3.608024388,114.251152,97.35636902,,,2.715,High income,74.429,28,100830,,55.489,44.511,Latin America and Caribbean
Aruba,2007,100,3.253495153,66.16107669,25834.11178,76.7998291,5.392567845,115.2115784,102.5597534,,,2.821,High income,74.576,30.9,101226,,55.853,44.147,Latin America and Caribbean
Aruba,2008,100,2.709434609,67.7045177,27083.63486,78.18477818,8.955987052,113.0916138,94.64913177,,,2.656,High income,74.725,52,101362,,56.217,43.783,Latin America and Caribbean
Aruba,2009,100,3.011006608,63.78269618,24631.18205,76.27990163,-2.13542872,113.8017883,96.73602295,,,2.627,High income,74.872,58,101452,,56.579,43.421,Latin America and Caribbean
Aruba,2010,93.35629215,3.182334355,61.0422996,23513.5277,77.5648516,2.078140719,113.7942963,95.82353973,,,2.506,High income,75.017,62,101665,,56.941,43.059,Latin America and Caribbean
Aruba,2011,100,3.23657644,67.81332165,24985.01392,83.7861525,4.316297422,105.2558594,97.02787781,,,2.499,High income,75.158,69,102050,,57.06,42.94,Latin America and Caribbean
Aruba,2012,100,1.732865457,65.24134891,24712.49326,82.43332599,0.627471993,104.0871277,111.1597672,,,1.348,High income,75.299,74,102565,,57.043,42.957,Latin America and Caribbean
Aruba,2013,100,1.097537171,76.54831163,26441.61994,85.34296869,-2.372065243,116.039299,,,,0.861,High income,75.441,78.9,103165,,57.01,42.99,Latin America and Caribbean
Aruba,2014,100,1.103057,78.27550385,26893.01151,84.60658,0.421440919,117.1080933,,,,0.872,High income,75.583,83.78,103776,,56.959,43.041,Latin America and Caribbean
Aruba,2015,100,1.117613195,72.85295945,28396.90842,72.98080282,0.474763597,,,,,0.898,High income,75.725,88.66122693,104339,,56.892,43.108,Latin America and Caribbean
Aruba,2016,100,1.121327162,71.82038849,28452.17061,70.41928812,-0.931195987,,,,,0.883,High income,75.868,93.54245387,104865,,56.808,43.192,Latin America and Caribbean
Aruba,2017,100,0.989952937,72.54866459,29350.80502,71.2555733,-1.028281788,,,,,0.916,High income,76.01,97.17,105361,,56.707,43.293,Latin America and Caribbean
Aruba,2018,100,,73.79939714,30253.27936,74.62640531,3.626041414,,,,,0.943,High income,76.152,,105846,,56.589,43.411,Latin America and Caribbean
Angola,2000,,2.378255961,89.68583119,556.8386317,62.86127827,324.9968716,,12.26628017,,,9.515,Low income,,,,Closed Autocracy,49.913,,Sub-Saharan Africa
Angola,2001,20,2.560090454,75.38894373,527.3335285,74.94685096,152.5610225,,13.85371971,,,9.672,Low income,47.059,0.136013867,16945753,Closed Autocracy,48.726,51.274,Sub-Saharan Africa
Angola,2002,26.38386917,1.869648578,57.0849959,872.4944418,48.2167467,108.8974361,,14.98359013,,,12.598,Low income,47.702,0.270376746,17519418,Closed Autocracy,47.539,52.461,Sub-Saharan Africa
Angola,2003,27.4656353,1.182632624,54.32133738,982.9610078,49.57988943,98.22414366,,,,,8.988,Low income,48.44,0.370682065,18121477,Closed Autocracy,46.355,53.645,Sub-Saharan Africa
Angola,2004,28.53676033,1.966160144,58.38034553,1255.564513,45.19957883,43.54210675,,,21.3,26.1,18.702,Lower-middle income,49.263,0.464814618,18758138,Closed Autocracy,45.173,54.827,Sub-Saharan Africa
Angola,2005,29.59622383,1.352846216,65.52626777,1902.42215,41.06469436,22.95351385,,,,,19.006,Lower-middle income,50.165,1.143366827,19433604,Closed Autocracy,44,56,Sub-Saharan Africa
Angola,2006,30.64655495,1.17962134,63.4678635,2599.565948,31.15729583,13.30521018,,,,,22.102,Lower-middle income,51.143,1.5,20149905,Closed Autocracy,43.236,56.764,Sub-Saharan Africa
Angola,2007,37.5,1.120249004,67.90578337,3121.996085,40.15428452,12.25149745,98.97357941,,,,24.976,Lower-middle income,52.177,1.7,20905360,Closed Autocracy,42.476,57.524,Sub-Saharan Africa
Angola,2008,38.49,0.920735448,72.47502847,4080.941034,48.88967943,12.47582913,105.1802063,21.28945923,,,25.486,Lower-middle income,53.243,1.9,21695636,Closed Autocracy,41.718,58.282,Sub-Saharan Africa
Angola,2009,33.80418396,1.207974717,58.75730302,3122.781599,63.68883933,13.73028393,104.1305695,22.69255066,,,27.566,Lower-middle income,54.311,2.3,22514275,Closed Autocracy,40.966,59.034,Sub-Saharan Africa
Angola,2010,34.87972641,1.095882374,61.54311272,3587.883645,42.58051724,14.46965649,105.7810364,26.25922012,,,28.864,Lower-middle income,55.35,2.8,23356247,Electoral Autocracy,40.217,59.783,Sub-Saharan Africa
Angola,2011,34.6,0.893664281,60.66994844,4615.468219,39.31255941,13.48246792,119.5301437,26.48254013,7,7.7,30.33,Upper-middle income,56.33,3.1,24220660,Electoral Autocracy,39.472,60.528,Sub-Saharan Africa
Angola,2012,37.10102463,0.899509076,55.94013141,5100.097027,35.8599672,10.27790492,,,,,33.801,Upper-middle income,57.236,6.5,25107925,Electoral Autocracy,38.732,61.268,Sub-Saharan Africa
Angola,2013,38.24899292,0.857245799,50.74708439,5254.881126,36.06484639,8.777814293,,,,,33.229,Upper-middle income,58.054,8.9,26015786,Electoral Autocracy,37.998,62.002,Sub-Saharan Africa
Angola,2014,32,1.101677022,44.69503125,5408.4117,34.63789626,7.280387304,,,10,9.1,44.249,Upper-middle income,58.776,21.4,26941773,Electoral Autocracy,37.269,62.731,Sub-Saharan Africa
Angola,2015,42,1.093054773,29.75459949,4166.979833,33.13392129,9.150372075,113.4779587,,,,33.979,Upper-middle income,59.398,29,27884380,Electoral Autocracy,36.554,63.446,Sub-Saharan Africa
Angola,2016,41.79737854,1.299366329,28.12448456,3506.073128,25.24567072,30.69531299,,50.67147827,,,34.111,Lower-middle income,59.925,29,28842482,Electoral Autocracy,35.851,64.149,Sub-Saharan Africa
Angola,2017,43.0016098,1.133932076,29.00410005,4095.810057,23.2527214,29.84358669,,,,,37.471,Lower-middle income,60.379,32,29816769,Electoral Autocracy,35.161,64.839,Sub-Saharan Africa
Angola,2018,45.29,1.440150531,40.83628989,3289.643995,25.54182093,19.62860772,,,,,37.679,Lower-middle income,60.782,35,30809787,Electoral Autocracy,34.486,65.514,Sub-Saharan Africa
Albania,2000,100,1.563257993,20.11536376,1126.683318,43.33887425,0.050018136,104.1961899,71.07807922,,,3.004,Lower-middle income,,,,Electoral Autocracy,58.259,,Europe and Northern America
Albania,2001,100,1.53456116,21.33343755,1281.659393,45.15760713,3.10758827,102.9673691,72.53716278,,,3.221,Lower-middle income,74.288,0.325798377,3060173,Electoral Autocracy,57.565,42.435,Europe and Northern America
Albania,2002,100,1.688402104,20.94565114,1425.124849,47.57948015,7.770525834,101.4115067,72.86855316,,,3.748,Lower-middle income,74.579,0.390081273,3051010,Electoral Autocracy,56.499,43.501,Europe and Northern America
Albania,2003,100,1.556741276,20.84745139,1846.118813,46.17318516,0.484002612,100.0051422,75.24343872,,,4.232,Lower-middle income,74.828,0.971900415,3039616,Electoral Autocracy,55.427,44.573,Europe and Northern America
Albania,2004,100,1.248492816,22.21755127,2373.579844,44.8295956,2.280019169,98.1780014,74.80220795,,,4.104,Lower-middle income,75.039,2.420387798,3026939,Electoral Autocracy,54.349,45.651,Europe and Northern America
Albania,2005,100,1.200392814,23.01299011,2673.787283,47.85931453,2.366581957,100.6760406,77.90939331,,,4.199,Lower-middle income,75.228,6.043890864,3011487,Electoral Democracy,53.269,46.731,Europe and Northern America
Albania,2006,100,1.042206946,25.20959682,2972.743265,49.05749752,2.370728319,97.87570953,79.18955231,,,3.844,Lower-middle income,75.423,9.609991316,2992547,Electoral Democracy,52.185,47.815,Europe and Northern America
Albania,2007,100,0.920281891,28.24786726,3595.037163,54.95419417,2.932682482,96.34562683,82.20059204,15.7,16.4,3.829,Lower-middle income,75.646,15.03611541,2970017,Electoral Democracy,51.098,48.902,Europe and Northern America
Albania,2008,100,0.904943979,25.30240214,4370.540127,52.14930043,3.363137574,95.68250275,84.12509155,12.5,13.7,4.272,Lower-middle income,75.912,23.86,2947314,Electoral Democracy,50.009,49.991,Europe and Northern America
Albania,2009,100,1.019991545,25.24071574,4114.140114,49.85412445,2.231396835,93.10456085,85.69499207,12.1,15.6,4.254,Upper-middle income,76.221,41.2,2927519,Electoral Democracy,48.924,51.076,Europe and Northern America
Albania,2010,100,1.112281159,27.97944855,4094.350334,48.56396093,-4.298474686,93.49047089,88.10388947,12.7,15.8,4.448,Upper-middle income,76.562,45,2913021,Electoral Democracy,47.837,52.163,Europe and Northern America
Albania,2011,100,1.211136686,29.24150074,4437.142885,51.97704782,3.429123247,95.00608063,89.79815674,13.3,13.8,5.031,Lower-middle income,76.914,47,2905195,Electoral Democracy,46.753,53.247,Europe and Northern America
Albania,2012,99.9,1.249519649,28.93748669,4247.629984,47.57268731,2.031592684,97.58512878,92.28983307,14.8,11.5,4.668,Upper-middle income,77.252,49.4,2900401,Electoral Democracy,45.67,54.33,Europe and Northern America
Albania,2013,100,1.220763959,28.91635374,4413.060861,46.95742792,1.937620802,99.98390961,96.25608063,17.8,13.4,4.928,Upper-middle income,77.554,51.8,2895092,Electoral Democracy,44.613,55.387,Europe and Northern America
Albania,2014,99.95,1.383815867,28.21297884,4578.631994,47.19485522,1.625865044,104.1080399,97.68486786,19.9,15.5,5.621,Upper-middle income,77.813,54.3,2889104,Electoral Democracy,43.577,56.423,Europe and Northern America
Albania,2015,99.98,1.394173498,27.2673933,3952.801215,44.53364682,3.501208355,105.5429764,97.38848114,17.3,17.1,4.532,Upper-middle income,78.025,56.9,2880703,Electoral Democracy,42.566,57.434,Europe and Northern America
Albania,2016,99.89,1.352741287,28.97786422,4124.055726,45.8319572,-0.36731721,105.5538635,95.71499634,16.1,14.5,4.496,Upper-middle income,78.194,59.6,2876101,Electoral Democracy,41.579,58.421,Europe and Northern America
Albania,2017,99.89,1.339733241,31.56982064,4531.020806,46.62445444,2.060598459,107.0466003,95.26589203,14.4,12.5,5.404,Upper-middle income,78.333,62.4,2873457,Electoral Democracy,40.617,59.383,Europe and Northern America
Albania,2018,100,1.244827633,31.59157414,5284.380184,45.26431362,2.028059631,106.9934235,95.43232727,12.6,11.9,5.403,Upper-middle income,78.458,65.4,2866376,Electoral Democracy,39.681,60.319,Europe and Northern America
United Arab Emirates,2000,100,1.909779251,,33291.36625,,,,,2.2,2.7,111.788,High income,,,,Closed Autocracy,19.764,,Northern Africa and Western Asia
United Arab Emirates,2001,100,1.815223282,49.15922533,31280.75586,40.7053546,,,,,,100.592,High income,74.544,26.2717542,3302722,Closed Autocracy,19.345,80.655,Northern Africa and Western Asia
United Arab Emirates,2002,100,1.540480113,49.50334738,31567.54631,43.56831143,,,,,,83.698,High income,74.758,28.31648531,3478769,Closed Autocracy,18.933,81.067,Northern Africa and Western Asia
United Arab Emirates,2003,100,1.803033062,55.92319922,33499.10278,46.37697028,,,,,,105.618,High income,74.968,29.47795341,3711931,Closed Autocracy,18.528,81.472,Northern Africa and Western Asia
